Provinsi;2013;2014;2015;2017;2018
Aceh;1127469;1186899;1245644;1359132;1426423
Sumatera Utara;2930584;3051822;3171291;3477477;3640847
Sumatera Barat;1097925;1158772;1220930;1351478;1430464
Riau;1005933;1105800;1211259;1480026;1613447
Jambi;556626;371170;406973;470236;502139
Sumatera Selatan;1412669;1770137;1892767;2158592;2300239
Bengkulu;380003;405649;430876;490356;524853
Lampung;1536690;1637824;1731154;1955889;2086988
Bangka Belitung;298971;339065;370881;424424;449450
Kepulauan Riau;430611;462609;488624;547412;574533
DKI Jakarta;4475664;4803590;5167244;4205365;4395066
Jawa Barat;10278880;10972183;11890365;13257037;13999458
Jawa Tengah;8092964;8456230;8866323;10741660;10011388
D.I Yogyakarta;935821;972327;1033966;1137773;1198814
Jawa Timur;9087498;9642010;10111801;10432843;11469970
Banten;1040761;1114001;1224127;2935291;3145038
Bali;998707;1089236;1181668;1328784;1392939
Nusa Tenggara Barat;874611;943299;1023233;1203474;1354055
Nusa Tenggara Timur;563846;618330;628427;670559;713696
Kalimantan Barat;806035;870687;918006;1040948;1117470
Kalimantan Tengah;408335;437552;471124;556745;602323
Kalimantan Selatan;905242;946093;998652;1109175;1183771
Kalimantan Timur;716839;797207;856994;1032901;1109420
Kalimantan Utara;51993;41712;45379;45379;45380
Sulawesi Utara;516500;545731;573057;631109;663551
Sulawesi Tengah;448891;486678;524351;596945;633876
Sulawesi Selatan;1584608;1688746;1778663;2030740;2156585
Sulawesi Tenggara;331859;357158;378137;477476;545523
Gorontalo;178970;198087;217578;249206;264116
Sulawesi Barat;145464;166398;179763;226113;255036
Maluku;251539;270044;286648;317191;341998
Maluku Utara;159931;172312;187688;220038;240517
Papua Barat;159443;180288;199314;234860;253416
Papua;250307;279523;301655;346325;372902
