Provinsi;2013;2014;2015;2017;2018
Aceh;128.54;201.25;232.10;224.27;221.13
Sumatera Utara;3625.32;4116.45;4241.54;4832.95;5017.05
Sumatera Barat;32.91;72.67;81.15;59.03;59.84
Riau;175.48;172.62;173.80;353.76;317.09
Jambi;50.06;51.54;60.37;69.07;43.13
Sumatera Selatan;2663.26;3018.06;3146.21;4494.01;4458.37
Bengkulu;24.04;43.54;25.89;47.20;51.06
Lampung;124.79;121.21;121.12;124.38;237.38
Bangka Belitung;106.46;234.71;314.56;265.40;285.92
Kepulauan Riau;381.21;736.48;736.80;850.54;969.62
DKI Jakarta *);1448.00;1348.00;1359.54;5027.82;4183.74
Jawa Barat *);3998.74;4076.66;4077.90;8198.36;9697.06
Jawa Tengah *);5153.86;5154.85;5155.26;7231.91;7150.68
D.I Yogyakarta;0.32;0.32;0.18;-;-
Jawa Timur *);11547.76;14668.05;13504.40;8199.50;9396.50
Banten *);11703.54;12873.34;12873.34;7874.90;8052.30
Bali;454.02;441.89;1017.19;961.39;786.84
Nusa Tenggara Barat;170.04;445.39;393.80;603.49;624.93
Nusa Tenggara Timur;160.54;272.80;297.25;356.19;331.21
Kalimantan Barat;243.03;508.09;653.49;617.49;778.82
Kalimantan Tengah;271.00;271.85;242.15;430.76;485.48
Kalimantan Selatan;478.32;645.41;1671.13;1831.94;2790.84
Kalimantan Timur;518.50;977.56;1053.03;1437.95;1192.23
Kalimantan Utara;31.22;84.82;99.82;73.60;238.20
Sulawesi Utara;345.19;350.45;358.03;580.77;557.22
Sulawesi Tengah;198.09;422.41;421.12;520.62;1718.47
Sulawesi Selatan;1084.85;968.92;1232.35;1623.85;3552.85
Sulawesi Tenggara;129.24;233.07;127.47;316.59;293.38
Gorontalo;31.44;64.73;31.49;56.83;57.91
Sulawesi Barat;12.39;11.68;3.22;3.22;63.22
Maluku;147.61;211.79;236.76;263.37;297.06
Maluku Utara;49.60;65.70;73.81;124.38;88.36
Papua Barat;66.64;102.80;112.76;379.59;121.09
Papua;106.30;242.44;271.14;345.19;550.02
