Provinsi;2013;2014;2015;2017;2018
Aceh;1815.04;1965.55;2119.00;2409.11;2587.71
Sumatera Utara;7917.24;8271.01;8703.67;9671.48;10445.02
Sumatera Barat;2712.85;3005.26;3063.28;3415.29;3496.18
Riau;3597.44;3338.33;3586.45;4069.93;4377.21
Jambi;955.66;1037.45;1083.79;1176.09;1219.01
Sumatera Selatan;4162.09;4477.49;4783.02;5239.35;5501.26
Bengkulu;641.52;729.64;785.43;852.84;907.45
Lampung;3182.21;3392.44;3571.00;3998.30;4257.15
Bangka Belitung;721.24;805.43;861.52;979.19;1066.35
Kepulauan Riau;2421.92;2618.48;2694.79;2823.17;2990.44
DKI Jakarta;39937.28;41269.03;41328.60;31643.13;32779.19
Jawa Barat;39092.56;43096.46;44071.43;50791.20;52878.86
Jawa Tengah;18205.08;19631.46;20408.19;21057.04;23558.02
D.I Yogyakarta;2205.79;2369.60;2484.16;2724.49;2856.95
Jawa Timur;28708.11;30523.98;30824.81;34114.16;35817.90
Banten;9750.37;8562.97;8575.10;22557.53;23736.30
Bali;3914.32;4335.03;4594.18;5069.64;5247.16
Nusa Tenggara Barat;1133.33;1291.47;1402.30;1677.54;1776.81
Nusa Tenggara Timur;639.57;702.26;749.76;855.25;927.41
Kalimantan Barat;1889.39;1862.44;1989.63;2252.06;2373.12
Kalimantan Tengah;854.78;970.16;1048.64;1134.95;1223.79
Kalimantan Selatan;1880.66;2092.23;2187.64;2391.87;2602.39
Kalimantan Timur;2731.57;2815.55;3007.30;3418.33;3637.27
Kalimantan Utara;180.74;199.37;206.50;180.59;183.32
Sulawesi Utara;1192.52;1240.32;1302.58;1544.87;1676.89
Sulawesi Tengah;758.70;865.77;948.78;1068.79;1171.08
Sulawesi Selatan;4156.49;4339.22;4479.46;5172.50;5472.48
Sulawesi Tenggara;621.64;670.71;703.59;850.70;911.73
Gorontalo;328.40;366.08;398.82;460.13;503.49
Sulawesi Barat;207.59;238.03;258.70;312.89;345.28
Maluku;469.96;480.08;509.51;463.05;597.37
Maluku Utara;259.10;309.37;329.44;237.12;401.48
Papua Barat;383.99;430.63;455.58;533.47;569.02
Papua;713.26;724.78;763.32;868.01;916.96
