Provinsi;2013;2014;2015;2017;2018
Aceh;522.89;582.06;618.26;568.20;517.15
Sumatera Utara;17459.73;18028.30;18876.59;18544.99;20188.10
Sumatera Barat;185.73;179.47;182.69;89.28;68.06
Riau;811.30;892.63;969.73;1032.83;1028.16
Jambi;137.62;127.89;134.31;124.19;122.38
Sumatera Selatan;14639.61;15748.14;16431.48;16955.88;16370.00
Bengkulu;75.25;81.04;82.87;80.73;146.49
Lampung;40.56;40.59;40.55;40.60;40.60
Bangka Belitung;802.32;927.95;939.41;974.12;971.80
Kepulauan Riau;2166.16;3530.02;2830.82;2275.74;2859.44
DKI Jakarta *);5433.79;4115.58;3408.60;16070.82;17975.70
Jawa Barat *);21615.84;20849.37;20617.92;37801.93;42061.38
Jawa Tengah *);27916.22;27133.45;25690.27;39579.73;40798.65
D.I Yogyakarta;0.00;0.00;0.00;0.00;0.00
Jawa Timur *);54548.64;56631.27;52624.96;53868.24;55442.94
Banten *);52860.36;63695.13;70279.07;46111.50;48389.44
Bali;2271.20;2374.48;1919.80;3564.45;3058.25
Nusa Tenggara Barat;1311.72;1476.01;1558.03;1563.41;1579.43
Nusa Tenggara Timur;717.66;730.93;820.20;600.32;634.53
Kalimantan Barat;2116.47;2225.89;2340.32;1609.28;848.94
Kalimantan Tengah;615.20;602.42;556.67;369.11;355.86
Kalimantan Selatan;2690.52;3124.21;3314.14;3933.49;6103.40
Kalimantan Timur;3636.90;3063.27;2450.57;3769.59;2951.67
Kalimantan Utara;162.31;206.06;70.48;184.58;306.10
Sulawesi Utara;1863.31;1916.15;1959.76;1937.36;1135.40
Sulawesi Tengah;916.27;1768.15;1580.22;1720.51;1580.44
Sulawesi Selatan;4233.85;5254.27;5978.87;5878.51;7985.36
Sulawesi Tenggara;236.83;273.37;846.29;873.80;873.60
Gorontalo;174.99;233.59;291.12;115.76;189.78
Sulawesi Barat;7.42;18.01;18.90;44.25;44.25
Maluku;524.93;751.90;781.38;620.77;617.38
Maluku Utara;245.01;138.50;170.35;238.21;177.40
Papua Barat;415.60;324.34;447.95;713.88;321.37
Papua;850.71;974.65;917.48;805.28;1139.70
